,Course run,New LMS Link,Pic,Remarks
,ACDM-BDM-Master-05Aug2025,https://apps.claaslms.educlaas.com/authoring/course/course-v1:EDUCLaaS+BDM+ACDM-BDM-Master-05Aug2025,,
,PGDM-CMV-Master-04Mar2024,NO CONTENT AVAILABLE IN THE LINK,,
,ACDM-CMV-Master-30Sep2023,https://apps.claaslms.educlaas.com/authoring/course/course-v1:EDUCLaaS+CMV+ACDM-CMV-Master-30Sep2023,,
,PGDM-OMC-Master-18Jul2024,https://apps.claaslms.educlaas.com/authoring/course/course-v1:EDUCLaaS+OMC+PGDM-OMC-Master-18Jul2024,,
,PGDM-MAC-Master-28Jun2024,https://apps.claaslms.educlaas.com/authoring/course/course-v1:EDUCLaaS+MAC+PGDM-MAC-Master-28Jun2024,,
,PGDM-SNS-Master-15Jul2024,https://apps.claaslms.educlaas.com/authoring/course/course-v1:EDUCLaaS+SNS+PGDM-SNS-Master-15Jul2024,,
,PGDM-PMI-Master-13Mar2024,https://apps.claaslms.educlaas.com/authoring/course/course-v1:EDUCLaaS+PMI+PGDM-PMI-Master-13Mar2024,,
,PGDM-GA2-Master-01Apr2024,https://apps.claaslms.educlaas.com/authoring/course/course-v1:EDUCLaaS+GA2+PGDM-GA2-Master-01Apr2024,,
,PGDM-CDM-Master-05Sep2024,https://apps.claaslms.educlaas.com/authoring/course/course-v1:EDUCLaaS+CDM+PGDM-CDM-Master-05Sep2024,,
,ACDM-DMI-Master-25Aug2023,https://apps.claaslms.educlaas.com/authoring/course/course-v1:EDUCLaaS+DMI+ACDM-DMI-Master-25Aug2023,,
,PDDM-BDM-Master-25Jul2024,https://apps.claaslms.educlaas.com/authoring/course/course-v1:EDUCLaaS+BDM+PDDM-BDM-Master-25Jul2024,,
,PDDM-CMV-Master-12Apr2024,https://apps.claaslms.educlaas.com/authoring/course/course-v1:EDUCLaaS+CMV+PDDM-CMV-Master-12Apr2024,Jeff,Checked
,PDDM-OMCMaster-16Jul2024,https://apps.claaslms.educlaas.com/authoring/course/course-v1:EDUCLaaS+OMC+PDDM-OMCMaster-16Jul2024,Jeff,Checked
,PDDM-MAC-Master-28Jun2024,https://apps.claaslms.educlaas.com/authoring/course/course-v1:EDUCLaaS+MAC+PDDM-MAC-Master-28Jun2024,Hema,Checked
,PDDM-SNS-Master-12Jul2024,https://apps.claaslms.educlaas.com/authoring/course/course-v1:EDUCLaaS+SNS+PDDM-SNS-Master-12Jul2024,Hema,Checked
,PDDM-APM-Master-13Jan2025,https://apps.claaslms.educlaas.com/authoring/course/course-v1:EDUCLaaS+APM+PDDM-APM-Master-13Jan2025,Jehan,Checked
,PDDM-CDM-Master-5JSep2024,https://apps.claaslms.educlaas.com/authoring/course/course-v1:EDUCLaaS+CDM+PDDM-CDM-Master-5JSep2024,Jeff,Checked
,DGFC-GAI-Master-13May2024,https://apps.claaslms.educlaas.com/authoring/course/course-v1:EDUCLaaS+GAI+DGFC-GAI-Master-13May2024,Jehan,Checked
DTB,PDDI-DTB-Master-09Apr2025,https://apps.claaslms.educlaas.com/authoring/course/course-v1:EDUCLaaS+DTB+PDDI-DTB-Master-09Apr2025,Hema,Checked
DMV,PDDI-DMV-Master-08Sep2025,https://apps.claaslms.educlaas.com/authoring/course/course-v1:EDUCLaaS+DMV+PDDI-DMV-Master-08Sep2025,Hema,Checked
RPA,PDDI-RPA-Master-09Mar2025,https://apps.claaslms.educlaas.com/authoring/course/course-v1:EDUCLaaS+RPA+PDDI-RPA-Master-09Mar2025,Hema,Change in content as session 10 FC 04 - Checked
GAS,PDDI-GAS-Master-08Sep2025,https://apps.claaslms.educlaas.com/authoring/course/course-v1:EDUCLaaS+GAS+PDDI-GAS-Master-08Sep2025,Hema,Checked
APM,PDDI-APM-Master-25Apr2025,https://apps.claaslms.educlaas.com/authoring/course/course-v1:EDUCLaaS+APM+PDDI-APM-Master-25Apr2025,Jehan,
DTC,PDDI-DTC-Master-04Apr2025,https://apps.claaslms.educlaas.com/authoring/course/course-v1:EDUCLaaS+DTC+PDDI-DTC-Master-04Apr2025,Hema,Checked
AIC,DSSC-AIC-Master-08Sep2025,https://apps.claaslms.educlaas.com/authoring/course/course-v1:EDUCLaaS+AIC+DSSC-AIC-Master-08Sep2025/settings/advanced,,
DMV-PT,PDDI-DMV-Master-14Jan2025,https://apps.claaslms.educlaas.com/authoring/course/course-v1:EDUCLaaS+DMV-PT+PDDI-DMV-Master-14Jan2025,Hema,Checked
GAS-PT,PDDI-GAS-Master-25Apr2025,https://apps.claaslms.educlaas.com/authoring/course/course-v1:EDUCLaaS+GAS-PT+PDDI-GAS-Master-25Apr2025,,
CIA-PT,PDDI-CIA-Master-10Sep2025,https://apps.claaslms.educlaas.com/authoring/course/course-v1:EDUCLaaS+CIA-PT+PDDI-CIA-Master-10Sep2025,,
CIA-FT,PDDI-CIA-Master-09Sep2025,https://apps.claaslms.educlaas.com/authoring/course/course-v1:EDUCLaaS+CIA-FT+PDDI-CIA-Master-09Sep2025,Hema,Checked
,MTDM-MRMM5-Master-03Sep225,https://apps.claaslms.educlaas.com/authoring/course/course-v1:EDUCLaaS+MRMM5+MTDM-MRMM5-Master-03Sep225,Hema,Checked
,MTDM-MRMM4-Master-20Aug2025,https://apps.claaslms.educlaas.com/authoring/course/course-v1:EDUCLaaS+MRMM4+MTDM-MRMM4-Master-20Aug2025,,
,URBM1-MASTER-4Sep2023,https://apps.claaslms.educlaas.com/authoring/course/course-v1:EDUCLaaS+URBM1+URBM1-MASTER-4Sep2023,,
,URBM2-Master-31Jan2024,https://apps.claaslms.educlaas.com/authoring/course/course-v1:EDUCLaaS+URBM2+URBM2-Master-31Jan2024,,
,URBM3-MASTER-31Aug2023,https://apps.claaslms.educlaas.com/authoring/course/course-v1:EDUCLaaS+URBM3+URBM3-MASTER-31Aug2023,,
,URBM5-Master-14May2024,https://apps.claaslms.educlaas.com/authoring/course/course-v1:EDUCLaaS+URBM5+URBM5-Master-14May2024,,
,BTDM-URBM6-Master-20Sep2023,https://apps.claaslms.educlaas.com/authoring/course/course-v1:EDUCLaaS+URBM6+BTDM-URBM6-Master-20Sep2023,,
,HDDB-BAN-Master-28Apr2025,https://apps.claaslms.educlaas.com/authoring/course/course-v1:EDUCLaaS+BAN+HDDB-BAN-Master-28Apr2025,,
,HDDB-RPA-Master-27May2025,https://apps.claaslms.educlaas.com/authoring/course/course-v1:EDUCLaaS+RPA+HDDB-RPA-Master-27May2025,,
,BDDB-BDM-Master-05Aug2023,https://apps.claaslms.educlaas.com/authoring/course/course-v1:EDUCLaaS+BDM+BDDB-BDM-Master-05Aug2023,,
,BDDB-CMV-Master-17Oct202,https://apps.claaslms.educlaas.com/authoring/course/course-v1:EDUCLaaS+CMV+BDDB-CMV-Master-17Oct202,,
,BDDB-OMC-Master-05Jan2024,https://apps.claaslms.educlaas.com/authoring/course/course-v1:EDUCLaaS+OMC+BDDB-OMC-Master-05Jan2024,,
,BDDB-SNS-Master-13Feb2025,https://apps.claaslms.educlaas.com/authoring/course/course-v1:EDUCLaaS+SNS+BDDB-SNS-Master-13Feb2025,,
,HDSE-AMD-Master-29May2025,https://apps.claaslms.educlaas.com/authoring/course/course-v1:EDUCLaaS+AMD+HDSE-AMD-Master-29May2025,,
,BDDB-PMI-Master-17Apr2025,https://apps.claaslms.educlaas.com/authoring/course/course-v1:EDUCLaaS+PMi+BDDB-PMI-Master-17Apr2025,,
,BDDB-CRM-Master-27Sep2023,https://apps.claaslms.educlaas.com/authoring/course/course-v1:EDUCLaaS+CRM+BDDB-CRM-Master-27Sep2023,,
,BDDB-PMS-MASTER-27Mar2024,https://apps.claaslms.educlaas.com/authoring/course/course-v1:EDUCLaaS+PMS+BDDB-PMS-MASTER-27Mar2024,,
,BDDB-APM-Master-15Apr2025,https://apps.claaslms.educlaas.com/authoring/course/course-v1:EDUCLaaS+APM+BDDB-APM-Master-15Apr2025,,
,BDSE-GAS-Master-08Oct2024,https://apps.claaslms.educlaas.com/authoring/course/course-v1:EDUCLaaS+GAS+BDSE-GAS-Master-08Oct2024,,
,ACDM-ACM-Master-05Sep2024,https://apps.claaslms.educlaas.com/authoring/course/course-v1:EDUCLaaS+ACM-DBP+ACDM-ACM-Master-05Sep2024,,
,BDDB-MVC-Master-26May2025,https://apps.claaslms.educlaas.com/authoring/course/course-v1:EDUCLaaS+MVC+BDDB-MVC-Master-26May2025,,
,PDDM-BDM-Master-13Nov2025,https://apps.claaslms.educlaas.com/authoring/course/course-v1:EDUCLaaS+BDM+PDDM-BDM-Master-13Nov2025,Hema,Checked
,PDDM-CMV-MAster-19Nov2025,https://apps.claaslms.educlaas.com/authoring/course/course-v1:EDUCLaaS+CMV+PDDM-CMV-Master-19Nov2025,Hema,Checked
,DSSC-MCC-Master-11mar2026,https://apps.claaslms.educlaas.com/learning/course/course-v1:CLaaS2SaaS+DSSC-MCC+DSSC-MCC-Master-11Mar2026/home,,
